datetime,open,high,low,close,volume,open_interest
2020-01-02,10509.124,10663.555,10479.773,10638.824,39279517396,0
2020-01-03,10666.655,10689.591,10594.357,10656.406,37360393826,0
2020-01-06,10599.411,10799.58,10577.782,10698.273,43899825118,0
2020-01-07,10725.178,10829.045,10723.857,10829.045,41449962703,0
2020-01-08,10776.708,10851.281,10681.024,10706.868,46250690962,0
2020-01-09,10807.037,10899.482,10807.037,10898.166,39659111472,0
2020-01-10,10927.981,10933.806,10833.52,10879.843,35568971362,0
2020-01-13,10893.995,11040.201,10851.72,11040.201,34527366282,0
2020-01-14,11074.887,11086.809,10983.415,10988.768,37729812166,0
2020-01-15,10978.281,11001.806,10882.787,10972.316,33123327249,0
2020-01-16,10986.648,11008.208,10934.725,10967.436,31796837343,0
2020-01-17,11001.678,11045.25,10927.841,10954.388,30482010260,0
2020-01-20,10981.505,11115.884,10936.804,11115.884,33062551293,0
2020-01-21,11077.657,11078.039,10948.576,10953.413,33854080424,0
2020-01-22,10896.555,11105.69,10761.677,11072.058,35209008130,0
2020-01-23,10947.857,11025.995,10572.265,10681.904,40289425936,0
2020-02-03,9706.58,9934.35,9706.58,9779.668,19544992148,0
2020-02-04,9578.867,10095.69,9578.867,10089.666,51156008017,0
2020-02-05,10159.552,10445.094,10148.243,10305.498,45467182509,0
2020-02-06,10306.115,10633.165,10214.812,10601.342,48110943403,0
2020-02-07,10569.652,10629.149,10441.903,10611.551,48961955730,0
2020-02-10,10577.558,10730.054,10551.539,10728.46,47089083717,0
2020-02-11,10749.974,10839.186,10678.106,10768.628,41781519097,0
2020-02-12,10735.048,10944.63,10724.085,10940.795,42014176190,0
2020-02-13,10936.501,10988.231,10820.917,10864.322,45529039905,0
2020-02-14,10854.455,11017.646,10822.134,10916.312,41709336930,0
2020-02-17,10974.933,11241.499,10974.933,11241.499,48111496462,0
2020-02-18,11244.765,11306.486,11143.387,11306.486,52809083639,0
2020-02-19,11300.161,11387.992,11229.552,11235.596,53776285211,0
2020-02-20,11278.874,11519.073,11248.902,11509.088,55171061966,0
2020-02-21,11506.674,11727.889,11493.633,11629.698,60039173439,0
2020-02-24,11620.631,11809.75,11548.41,11772.376,62054634683,0
2020-02-25,11537.554,11869.406,11350.275,11856.081,73050583178,0
2020-02-26,11677.629,11770.509,11453.687,11497.553,68651309803,0
2020-02-27,11555.818,11684.497,11401.323,11534.019,55169482361,0
2020-02-28,11150.659,11338.35,10962.242,10980.774,61089043637,0
2020-03-02,11115.459,11457.416,11053.288,11381.762,53240554806,0
2020-03-03,11597.664,11734.178,11378.764,11484.212,60166615274,0
2020-03-04,11411.598,11501.797,11273.264,11493.021,51334824582,0
2020-03-05,11644.407,11739.837,11521.293,11711.373,59305420404,0
2020-03-06,11555.458,11690.201,11541.781,11582.815,53885674076,0
2020-03-09,11363.795,11407.473,11100.913,11108.548,58473479978,0
