datetime,open,high,low,close,volume,turnover,open_interest
2020-01-23 14:00:00,2.84,3.01,2.8,3.01,300,84960,0
2020-02-04 09:30:00,3.01,3.01,2.99,2.99,20,6000,0
2020-02-04 10:30:00,3.01,3.01,2.99,2.99,20,6000,0
2020-02-04 13:00:00,3.01,3.01,2.99,2.99,20,6000,0
2020-02-04 14:00:00,3.01,3.01,2.99,2.99,20,6000,0
2020-02-05 09:30:00,2.98,3.18,2.94,2.94,50,14980,0
2020-02-05 10:30:00,2.98,3.18,2.94,2.94,50,14980,0
2020-02-05 13:00:00,2.98,3.18,2.94,2.94,50,14980,0
2020-02-05 14:00:00,2.98,3.18,2.94,2.94,50,14980,0
2020-02-10 09:30:00,2.92,2.92,2.74,2.87,1640,465890,0
2020-02-10 10:30:00,2.92,2.92,2.74,2.87,1640,465890,0
2020-02-10 13:00:00,2.92,2.92,2.74,2.87,1640,465890,0
2020-02-10 14:00:00,2.92,2.92,2.74,2.87,1640,465890,0
2020-02-11 09:30:00,2.72,2.88,2.49,2.49,820,224400,0
2020-02-11 10:30:00,2.72,2.88,2.49,2.49,820,224400,0
2020-02-11 13:00:00,2.72,2.88,2.49,2.49,820,224400,0
2020-02-11 14:00:00,2.72,2.88,2.49,2.49,820,224400,0
2020-02-12 09:30:00,2.82,2.82,2.64,2.78,460,127100,0
2020-02-12 10:30:00,2.82,2.82,2.64,2.78,460,127100,0
2020-02-12 13:00:00,2.82,2.82,2.64,2.78,460,127100,0
2020-02-12 14:00:00,2.82,2.82,2.64,2.78,460,127100,0
2020-02-13 09:30:00,2.85,2.85,2.68,2.73,690,189190,0
2020-02-13 10:30:00,2.85,2.85,2.68,2.73,690,189190,0
2020-02-13 13:00:00,2.85,2.85,2.68,2.73,690,189190,0
2020-02-13 14:00:00,2.85,2.85,2.68,2.73,690,189190,0
2020-02-14 09:30:00,2.85,2.85,2.65,2.67,3170,857730,0
2020-02-14 10:30:00,2.85,2.85,2.65,2.67,3170,857730,0
2020-02-14 13:00:00,2.85,2.85,2.65,2.67,3170,857730,0
2020-02-14 14:00:00,2.85,2.85,2.65,2.67,3170,857730,0
2020-02-17 09:30:00,2.74,2.81,2.65,2.66,560,151670,0
2020-02-17 10:30:00,2.74,2.81,2.65,2.66,560,151670,0
2020-02-17 13:00:00,2.74,2.81,2.65,2.66,560,151670,0
2020-02-17 14:00:00,2.74,2.81,2.65,2.66,560,151670,0
2020-02-18 09:30:00,2.62,2.63,2.5,2.58,535,138285,0
2020-02-18 10:30:00,2.62,2.63,2.5,2.58,535,138285,0
2020-02-18 13:00:00,2.62,2.63,2.5,2.58,535,138285,0
2020-02-18 14:00:00,2.62,2.63,2.5,2.58,535,138285,0
2020-02-19 09:30:00,2.66,2.66,2.53,2.58,440,113040,0
2020-02-19 10:30:00,2.66,2.66,2.53,2.58,440,113040,0
2020-02-19 13:00:00,2.66,2.66,2.53,2.58,440,113040,0
2020-02-19 14:00:00,2.66,2.66,2.53,2.58,440,113040,0
2020-02-20 09:30:00,2.5,2.56,2.4,2.5,880,216880,0
2020-02-20 10:30:00,2.5,2.56,2.4,2.5,880,216880,0
2020-02-20 13:00:00,2.5,2.56,2.4,2.5,880,216880,0
2020-02-20 14:00:00,2.5,2.56,2.4,2.5,880,216880,0
2020-02-21 09:30:00,2.87,2.87,2.35,2.49,510,123210,0
2020-02-21 10:30:00,2.87,2.87,2.35,2.49,510,123210,0
2020-02-21 13:00:00,2.87,2.87,2.35,2.49,510,123210,0
2020-02-21 14:00:00,2.87,2.87,2.35,2.49,510,123210,0
2020-02-24 09:30:00,2.48,2.48,2.47,2.47,330,81540,0
2020-02-24 10:30:00,2.48,2.48,2.47,2.47,330,81540,0
2020-02-24 13:00:00,2.48,2.48,2.47,2.47,330,81540,0
2020-02-24 14:00:00,2.48,2.48,2.47,2.47,330,81540,0
2020-02-25 09:30:00,2.82,2.82,2.32,2.66,7740,2102360,0
2020-02-25 10:30:00,2.82,2.82,2.32,2.66,7740,2102360,0
2020-02-25 13:00:00,2.82,2.82,2.32,2.66,7740,2102360,0
2020-02-25 14:00:00,2.82,2.82,2.32,2.66,7740,2102360,0
2020-02-26 09:30:00,2.49,2.66,2.47,2.62,6950,1889050,0
2020-02-26 10:30:00,2.49,2.66,2.47,2.62,6950,1889050,0
2020-02-26 13:00:00,2.49,2.66,2.47,2.62,6950,1889050,0
2020-02-26 14:00:00,2.49,2.66,2.47,2.62,6950,1889050,0
2020-02-27 09:30:00,2.45,2.53,2.45,2.53,5170,1417630,0
2020-02-27 10:30:00,2.45,2.53,2.45,2.53,5170,1417630,0
2020-02-27 13:00:00,2.45,2.53,2.45,2.53,5170,1417630,0
2020-02-27 14:00:00,2.45,2.53,2.45,2.53,5170,1417630,0
2020-02-28 09:30:00,2.48,2.5,2.4,2.4,932,224654,0
2020-02-28 10:30:00,2.48,2.5,2.4,2.4,932,224654,0
2020-02-28 13:00:00,2.48,2.5,2.4,2.4,932,224654,0
2020-02-28 14:00:00,2.48,2.5,2.4,2.4,932,224654,0
2020-03-02 09:30:00,2.39,2.4,2.26,2.26,1600,370010,0
2020-03-02 10:30:00,2.39,2.4,2.26,2.26,1600,370010,0
2020-03-02 13:00:00,2.39,2.4,2.26,2.26,1600,370010,0
2020-03-02 14:00:00,2.39,2.4,2.26,2.26,1600,370010,0
2020-03-03 09:30:00,2.69,2.69,2.21,2.21,1270,282910,0
2020-03-03 10:30:00,2.69,2.69,2.21,2.21,1270,282910,0
2020-03-03 13:00:00,2.69,2.69,2.21,2.21,1270,282910,0
2020-03-03 14:00:00,2.69,2.69,2.21,2.21,1270,282910,0
2020-03-04 09:30:00,2.2,2.2,2.04,2.13,3222,664996,0
2020-03-04 10:30:00,2.2,2.2,2.04,2.13,3222,664996,0
2020-03-04 13:00:00,2.2,2.2,2.04,2.13,3222,664996,0
2020-03-04 14:00:00,2.2,2.2,2.04,2.13,3222,664996,0
2020-03-05 09:30:00,2.18,2.18,2.16,2.18,1050,227710,0
2020-03-05 10:30:00,2.18,2.18,2.16,2.18,1050,227710,0
2020-03-05 13:00:00,2.18,2.18,2.16,2.18,1050,227710,0
2020-03-05 14:00:00,2.18,2.18,2.16,2.18,1050,227710,0
2020-03-06 09:30:00,2.23,2.24,2.18,2.24,470,104590,0
2020-03-06 10:30:00,2.23,2.24,2.18,2.24,470,104590,0
2020-03-06 13:00:00,2.23,2.24,2.18,2.24,470,104590,0
2020-03-06 14:00:00,2.23,2.24,2.18,2.24,470,104590,0
2020-03-09 09:30:00,2.34,2.49,2.34,2.49,457,109441,0
2020-03-09 10:30:00,2.34,2.49,2.34,2.49,457,109441,0
2020-03-09 13:00:00,2.34,2.49,2.34,2.49,457,109441,0
2020-03-09 14:00:00,2.34,2.49,2.34,2.49,457,109441,0
2020-03-10 09:30:00,2.48,2.48,2.37,2.42,1170,285300,0
2020-03-10 10:30:00,2.48,2.48,2.37,2.42,1170,285300,0
2020-03-10 13:00:00,2.48,2.48,2.37,2.42,1170,285300,0
2020-03-10 14:00:00,2.48,2.48,2.37,2.42,1170,285300,0
2020-03-11 09:30:00,2.58,2.58,2.34,2.37,860,204950,0
2020-03-11 10:30:00,2.58,2.58,2.34,2.37,860,204950,0
2020-03-11 13:00:00,2.58,2.58,2.34,2.37,860,204950,0
2020-03-11 14:00:00,2.58,2.58,2.34,2.37,860,204950,0
2020-03-12 09:30:00,2.38,2.45,2.38,2.44,270,65390,0
2020-03-12 10:30:00,2.38,2.45,2.38,2.44,270,65390,0
2020-03-12 13:00:00,2.38,2.45,2.38,2.44,270,65390,0
2020-03-12 14:00:00,2.38,2.45,2.38,2.44,270,65390,0
2020-03-13 09:30:00,2.31,2.42,2.31,2.42,510,122290,0
2020-03-13 10:30:00,2.31,2.42,2.31,2.42,510,122290,0
2020-03-13 13:00:00,2.31,2.42,2.31,2.42,510,122290,0
2020-03-13 14:00:00,2.31,2.42,2.31,2.42,510,122290,0
2020-03-16 09:30:00,2.45,2.45,2.31,2.31,300,70980,0
2020-03-16 10:30:00,2.45,2.45,2.31,2.31,300,70980,0
2020-03-16 13:00:00,2.45,2.45,2.31,2.31,300,70980,0
2020-03-16 14:00:00,2.45,2.45,2.31,2.31,300,70980,0
2020-03-17 09:30:00,2.47,2.47,2.35,2.39,450,107470,0
2020-03-17 10:30:00,2.47,2.47,2.35,2.39,450,107470,0
2020-03-17 13:00:00,2.47,2.47,2.35,2.39,450,107470,0
2020-03-17 14:00:00,2.47,2.47,2.35,2.39,450,107470,0
2020-03-18 09:30:00,2.39,2.52,2.39,2.43,770,187560,0
2020-03-18 10:30:00,2.39,2.52,2.39,2.43,770,187560,0
2020-03-18 13:00:00,2.39,2.52,2.39,2.43,770,187560,0
2020-03-18 14:00:00,2.39,2.52,2.39,2.43,770,187560,0
2020-03-19 09:30:00,2.45,2.45,2.33,2.42,430,103700,0
2020-03-19 10:30:00,2.45,2.45,2.33,2.42,430,103700,0
2020-03-19 13:00:00,2.45,2.45,2.33,2.42,430,103700,0
2020-03-19 14:00:00,2.45,2.45,2.33,2.42,430,103700,0
2020-03-20 09:30:00,2.35,2.39,2.35,2.39,400,95100,0
2020-03-20 10:30:00,2.35,2.39,2.35,2.39,400,95100,0
2020-03-20 13:00:00,2.35,2.39,2.35,2.39,400,95100,0
2020-03-20 14:00:00,2.35,2.39,2.35,2.39,400,95100,0
2020-03-23 09:30:00,2.31,2.5,2.31,2.5,20,4810,0
2020-03-23 10:30:00,2.31,2.5,2.31,2.5,20,4810,0
2020-03-23 13:00:00,2.31,2.5,2.31,2.5,20,4810,0
2020-03-23 14:00:00,2.31,2.5,2.31,2.5,20,4810,0
2020-03-25 09:30:00,2.55,2.58,2.51,2.58,570,145230,0
2020-03-25 10:30:00,2.55,2.58,2.51,2.58,570,145230,0
2020-03-25 13:00:00,2.55,2.58,2.51,2.58,570,145230,0
2020-03-25 14:00:00,2.55,2.58,2.51,2.58,570,145230,0
2020-03-26 09:30:00,2.6,2.6,2.45,2.59,460,115910,0
2020-03-26 10:30:00,2.6,2.6,2.45,2.59,460,115910,0
2020-03-26 13:00:00,2.6,2.6,2.45,2.59,460,115910,0
2020-03-26 14:00:00,2.6,2.6,2.45,2.59,460,115910,0
2020-03-27 09:30:00,2.5,2.5,2.42,2.45,570,139770,0
2020-03-27 10:30:00,2.5,2.5,2.42,2.45,570,139770,0
2020-03-27 13:00:00,2.5,2.5,2.42,2.45,570,139770,0
2020-03-27 14:00:00,2.5,2.5,2.42,2.45,570,139770,0
2020-03-30 09:30:00,2.45,2.49,2.44,2.44,34,8304,0
2020-03-30 10:30:00,2.45,2.49,2.44,2.44,34,8304,0
2020-03-30 13:00:00,2.45,2.49,2.44,2.44,34,8304,0
2020-03-30 14:00:00,2.45,2.49,2.44,2.44,34,8304,0
2020-03-31 09:30:00,2.51,2.51,2.4,2.45,507,123156,0
2020-03-31 10:30:00,2.51,2.51,2.4,2.45,507,123156,0
2020-03-31 13:00:00,2.51,2.51,2.4,2.45,507,123156,0
2020-03-31 14:00:00,2.51,2.51,2.4,2.45,507,123156,0
2020-04-01 09:30:00,2.36,2.44,2.36,2.4,3920,955570,0
2020-04-01 10:30:00,2.36,2.44,2.36,2.4,3920,955570,0
2020-04-01 13:00:00,2.36,2.44,2.36,2.4,3920,955570,0
2020-04-01 14:00:00,2.36,2.44,2.36,2.4,3920,955570,0
2020-04-02 09:30:00,2.4,2.46,2.4,2.45,3076,749501,0
2020-04-02 10:30:00,2.4,2.46,2.4,2.45,3076,749501,0
2020-04-02 13:00:00,2.4,2.46,2.4,2.45,3076,749501,0
2020-04-02 14:00:00,2.4,2.46,2.4,2.45,3076,749501,0
2020-04-03 09:30:00,2.45,2.48,2.41,2.48,1112,273166,0
2020-04-03 10:30:00,2.45,2.48,2.41,2.48,1112,273166,0
2020-04-03 13:00:00,2.45,2.48,2.41,2.48,1112,273166,0
2020-04-03 14:00:00,2.45,2.48,2.41,2.48,1112,273166,0
2020-04-07 09:30:00,2.54,2.58,2.54,2.57,1694,435415,0
2020-04-07 10:30:00,2.54,2.58,2.54,2.57,1694,435415,0
2020-04-07 13:00:00,2.54,2.58,2.54,2.57,1694,435415,0
2020-04-07 14:00:00,2.54,2.58,2.54,2.57,1694,435415,0
2020-04-08 09:30:00,2.58,3.05,2.58,2.91,3653,1067886,0
2020-04-08 10:30:00,2.58,3.05,2.58,2.91,3653,1067886,0
2020-04-08 13:00:00,2.58,3.05,2.58,2.91,3653,1067886,0
2020-04-08 14:00:00,2.58,3.05,2.58,2.91,3653,1067886,0
2020-04-09 09:30:00,2.95,3.03,2.95,2.99,800,239863,0
2020-04-09 10:30:00,2.95,3.03,2.95,2.99,800,239863,0
2020-04-09 13:00:00,2.95,3.03,2.95,2.99,800,239863,0
2020-04-09 14:00:00,2.95,3.03,2.95,2.99,800,239863,0
2020-04-10 09:30:00,3.0,3.0,2.9,2.98,2008,599342,0
2020-04-10 10:30:00,3.0,3.0,2.9,2.98,2008,599342,0
2020-04-10 13:00:00,3.0,3.0,2.9,2.98,2008,599342,0
2020-04-10 14:00:00,3.0,3.0,2.9,2.98,2008,599342,0
2020-04-13 09:30:00,3.36,3.51,3.0,3.0,16583,5528344,0
2020-04-13 10:30:00,3.36,3.51,3.0,3.0,16583,5528344,0
2020-04-13 13:00:00,3.36,3.51,3.0,3.0,16583,5528344,0
2020-04-13 14:00:00,3.36,3.51,3.0,3.0,16583,5528344,0
2020-04-14 09:30:00,3.29,3.29,3.26,3.28,9551,3126604,0
2020-04-14 10:30:00,3.29,3.29,3.26,3.28,9551,3126604,0
2020-04-14 13:00:00,3.29,3.29,3.26,3.28,9551,3126604,0
2020-04-14 14:00:00,3.29,3.29,3.26,3.28,9551,3126604,0
2020-04-15 09:30:00,3.29,3.5,3.29,3.47,6472,2258198,0
2020-04-15 10:30:00,3.29,3.5,3.29,3.47,6472,2258198,0
2020-04-15 13:00:00,3.29,3.5,3.29,3.47,6472,2258198,0
2020-04-15 14:00:00,3.29,3.5,3.29,3.47,6472,2258198,0
2020-04-16 09:30:00,3.5,3.65,3.49,3.65,22130,7917092,0
2020-04-16 10:30:00,3.5,3.65,3.49,3.65,22130,7917092,0
2020-04-16 13:00:00,3.5,3.65,3.49,3.65,22130,7917092,0
2020-04-16 14:00:00,3.5,3.65,3.49,3.65,22130,7917092,0
2020-04-17 09:30:00,3.71,3.99,3.71,3.98,32512,12629680,0
2020-04-17 10:30:00,3.71,3.99,3.71,3.98,32512,12629680,0
2020-04-17 13:00:00,3.71,3.99,3.71,3.98,32512,12629680,0
2020-04-17 14:00:00,3.71,3.99,3.71,3.98,32512,12629680,0
2020-04-20 09:30:00,4.02,4.65,4.02,4.65,54926,23330011,0
2020-04-20 10:30:00,4.02,4.65,4.02,4.65,54926,23330011,0
2020-04-20 13:00:00,4.02,4.65,4.02,4.65,54926,23330011,0
2020-04-20 14:00:00,4.02,4.65,4.02,4.65,54926,23330011,0
2020-04-21 09:30:00,4.72,4.99,4.44,4.44,19298,9144411,0
2020-04-21 10:30:00,4.72,4.99,4.44,4.44,19298,9144411,0
2020-04-21 13:00:00,4.72,4.99,4.44,4.44,19298,9144411,0
2020-04-21 14:00:00,4.72,4.99,4.44,4.44,19298,9144411,0
2020-04-22 09:30:00,4.85,4.85,4.5,4.5,12347,5694691,0
2020-04-22 10:30:00,4.85,4.85,4.5,4.5,12347,5694691,0
2020-04-22 13:00:00,4.85,4.85,4.5,4.5,12347,5694691,0
2020-04-22 14:00:00,4.85,4.85,4.5,4.5,12347,5694691,0
2020-04-23 09:30:00,4.51,4.6,4.4,4.41,9028,4071325,0
2020-04-23 10:30:00,4.51,4.6,4.4,4.41,9028,4071325,0
2020-04-23 13:00:00,4.51,4.6,4.4,4.41,9028,4071325,0
2020-04-23 14:00:00,4.51,4.6,4.4,4.41,9028,4071325,0
2020-04-24 09:30:00,4.4,4.4,4.18,4.3,7668,3272782,0
2020-04-24 10:30:00,4.4,4.4,4.18,4.3,7668,3272782,0
2020-04-24 13:00:00,4.4,4.4,4.18,4.3,7668,3272782,0
2020-04-24 14:00:00,4.4,4.4,4.18,4.3,7668,3272782,0
2020-04-27 09:30:00,4.58,4.61,4.35,4.39,9624,4292194,0
2020-04-27 10:30:00,4.58,4.61,4.35,4.39,9624,4292194,0
2020-04-27 13:00:00,4.58,4.61,4.35,4.39,9624,4292194,0
2020-04-27 14:00:00,4.58,4.61,4.35,4.39,9624,4292194,0
2020-04-28 09:30:00,4.42,4.46,4.3,4.34,6042,2654493,0
2020-04-28 10:30:00,4.42,4.46,4.3,4.34,6042,2654493,0
2020-04-28 13:00:00,4.42,4.46,4.3,4.34,6042,2654493,0
2020-04-28 14:00:00,4.42,4.46,4.3,4.34,6042,2654493,0
2020-04-29 09:30:00,4.3,4.35,4.26,4.29,4427,1898824,0
2020-04-29 10:30:00,4.3,4.35,4.26,4.29,4427,1898824,0
2020-04-29 13:00:00,4.3,4.35,4.26,4.29,4427,1898824,0
2020-04-29 14:00:00,4.3,4.35,4.26,4.29,4427,1898824,0
2020-04-30 09:30:00,4.4,4.4,4.3,4.34,5119,2214562,0
2020-04-30 10:30:00,4.4,4.4,4.3,4.34,5119,2214562,0
2020-04-30 13:00:00,4.4,4.4,4.3,4.34,5119,2214562,0
2020-04-30 14:00:00,4.4,4.4,4.3,4.34,5119,2214562,0
2020-05-06 09:30:00,4.5,4.5,4.36,4.37,7955,3486979,0
2020-05-06 10:30:00,4.5,4.5,4.36,4.37,7955,3486979,0
2020-05-06 13:00:00,4.5,4.5,4.36,4.37,7955,3486979,0
2020-05-06 14:00:00,4.5,4.5,4.36,4.37,7955,3486979,0
2020-05-07 09:30:00,4.37,4.4,3.98,4.01,6682,2798552,0
2020-05-07 10:30:00,4.37,4.4,3.98,4.01,6682,2798552,0
2020-05-07 13:00:00,4.37,4.4,3.98,4.01,6682,2798552,0
2020-05-07 14:00:00,4.37,4.4,3.98,4.01,6682,2798552,0
2020-05-08 09:30:00,4.26,4.26,4.1,4.12,2168,894249,0
2020-05-08 10:30:00,4.26,4.26,4.1,4.12,2168,894249,0
2020-05-08 13:00:00,4.26,4.26,4.1,4.12,2168,894249,0
2020-05-08 14:00:00,4.26,4.26,4.1,4.12,2168,894249,0
2020-05-11 09:30:00,4.12,4.14,3.93,3.98,8309,3300015,0
2020-05-11 10:30:00,4.12,4.14,3.93,3.98,8309,3300015,0
2020-05-11 13:00:00,4.12,4.14,3.93,3.98,8309,3300015,0
2020-05-11 14:00:00,4.12,4.14,3.93,3.98,8309,3300015,0
2020-05-12 09:30:00,4.07,4.07,3.67,3.68,8976,3462685,0
2020-05-12 10:30:00,4.07,4.07,3.67,3.68,8976,3462685,0
2020-05-12 13:00:00,4.07,4.07,3.67,3.68,8976,3462685,0
2020-05-12 14:00:00,4.07,4.07,3.67,3.68,8976,3462685,0
2020-05-13 09:30:00,4.2,4.45,4.1,4.3,27134,11636624,0
2020-05-13 10:30:00,4.2,4.45,4.1,4.3,27134,11636624,0
2020-05-13 13:00:00,4.2,4.45,4.1,4.3,27134,11636624,0
2020-05-13 14:00:00,4.2,4.45,4.1,4.3,27134,11636624,0
2020-05-14 09:30:00,4.31,4.31,4.15,4.17,14846,6203213,0
2020-05-14 10:30:00,4.31,4.31,4.15,4.17,14846,6203213,0
2020-05-14 13:00:00,4.31,4.31,4.15,4.17,14846,6203213,0
2020-05-14 14:00:00,4.31,4.31,4.15,4.17,14846,6203213,0
2020-05-15 09:30:00,4.19,4.4,4.19,4.38,7092,3087989,0
2020-05-15 10:30:00,4.19,4.4,4.19,4.38,7092,3087989,0
2020-05-15 13:00:00,4.19,4.4,4.19,4.38,7092,3087989,0
2020-05-15 14:00:00,4.19,4.4,4.19,4.38,7092,3087989,0
